date,price
Mar 2008,1322.7
Apr 2008,1385.59
May 2008,1400.38
Jun 2008,1280
Jul 2008,1267.38
Aug 2008,1282.83
Sep 2008,1166.36
Oct 2008,968.75
Nov 2008,896.24
Dec 2008,903.25
Jan 2009,825.88
Feb 2009,735.09
Mar 2009,797.87
Apr 2009,872.81
May 2009,919.14
Jun 2009,919.32
Jul 2009,987.48
Aug 2009,1020.62
Sep 2009,1057.08
Oct 2009,1036.19
Nov 2009,1095.63
Dec 2009,1115.1
Jan 2010,1073.87
Feb 2010,1104.49
Mar 2010,1140.45
Dec 2017,5680
Jul 2016,16191
Mar 2017,1916
Oct 2018,13122
Dec 2015,20668
Jan 2019,15117
Oct 2019,9554
Oct 2018,3560
Nov 2018,7169
Jul 2016,22359
Apr 2017,16395
Oct 2019,19255
Sep 2017,14478
Apr 2018,14862
Oct 2018,23411
Jul 2016,2748
Feb 2018,11081
Apr 2016,14215
Aug 2019,15692
Apr 2016,22770
Jul 2019,13662
Sep 2017,24865
Dec 2015,9504
Jun 2019,22673
Nov 2017,14703
Jun 2018,20285
Sep 2017,23983
Jun 2017,9872
Nov 2015,13024
Apr 2019,3452
Jul 2019,9706
Jan 2018,13140
May 2019,14706
Dec 2015,7894
Dec 2016,15734
May 2016,15609
Oct 2017,19217
Mar 2018,19462
Nov 2016,20119
Jan 2016,18279
Sep 2017,11559
Sep 2018,24327
Oct 2018,17196
Jan 2017,9272
Nov 2017,20480
Jun 2019,6000
Aug 2019,2707
Jun 2019,15088
May 2016,21698
Dec 2018,11235
Nov 2017,6050
Nov 2018,16863
Feb 2019,10284
Apr 2016,20039
Jul 2018,5168
Aug 2016,7802
Mar 2017,5072
Dec 2017,15383
Mar 2018,16672
Mar 2017,14148
Dec 2016,12102
Feb 2016,8245
Nov 2017,20459
Jul 2017,5437
May 2019,3291
Oct 2019,1738
Mar 2019,12076
May 2018,18482
Jan 2018,8673
May 2018,18486
May 2017,11143
Jan 2019,11558
Oct 2018,22232
Nov 2017,23257
Sep 2016,20906
May 2017,2585
Oct 2017,21383
Mar 2016,4707
Oct 2017,22232
Jul 2019,8343
May 2019,11895
Mar 2018,24999
Oct 2019,6591
Nov 2015,12276
Mar 2016,20911
Dec 2018,14807
Jan 2019,19803
May 2016,13715
Feb 2019,16869
Feb 2017,9296
Dec 2018,16206
Nov 2016,12056
Sep 2019,23692
Nov 2016,22550
Jan 2018,19042
Mar 2017,18120
Jul 2017,24900
Oct 2018,15449
Dec 2016,4884
Mar 2016,18351
Oct 2017,24568
Sep 2016,23539
Sep 2019,6988
May 2019,11759
Aug 2019,1135
Sep 2018,12318
Sep 2017,19326
Aug 2019,14869
Feb 2017,17531
Jun 2017,9747
Jan 2017,23347
Apr 2019,19046
Aug 2019,19578
Jul 2019,7212
Feb 2018,10480
Oct 2016,22674
Jul 2016,1077
Apr 2019,14152
Jul 2019,9237
May 2019,13204
May 2017,24646
Feb 2019,6246
Apr 2017,19658
Mar 2016,8259
Feb 2019,12737
Mar 2017,8733
Dec 2015,3791
Aug 2017,12457
Dec 2016,19460
Apr 2016,11883
Jul 2018,11024
Apr 2016,11585
Jul 2016,3892
Apr 2019,21540
Jan 2016,20295
Nov 2017,13594
Apr 2018,15283
Nov 2016,19157
Apr 2017,2883
Dec 2016,6014
Mar 2018,16921
Jan 2019,1417
Aug 2018,13537
May 2019,3047
Mar 2017,17996
May 2019,19606
Apr 2018,22903
Apr 2016,9908
Apr 2016,22929
Apr 2017,1178
May 2017,4523
Dec 2018,12788
Jun 2019,9369
Apr 2019,23433
Sep 2016,8840
Jan 2019,2390
Jul 2016,18592
Jun 2017,16128
Dec 2015,10189
Apr 2016,15612
Dec 2018,24627
Feb 2019,1797
Apr 2019,13500
Nov 2016,16457
Mar 2017,3372
Nov 2015,5107
Apr 2018,3013
Sep 2016,11845
Jun 2018,11444
Mar 2018,20753
Jul 2016,9221
Sep 2017,10415
Oct 2017,18472
May 2017,2241
Jul 2018,14712
Aug 2019,10613
Oct 2018,6478
Sep 2018,14570
Jan 2018,17930
Aug 2016,11803
Sep 2019,6825
Apr 2017,10497
Dec 2016,7056
Dec 2017,3319
Apr 2019,24413
Jan 2017,13484
Sep 2018,16736
Dec 2018,14500
Oct 2018,12132
Jun 2018,17925
Feb 2016,14212
Nov 2018,8954
Sep 2017,16172
Mar 2018,9928
Aug 2018,14062
Jul 2016,21147
Nov 2018,8872
Feb 2018,22756
Oct 2017,6516
Aug 2016,22254
Oct 2017,9365
Nov 2016,22608
Oct 2017,15280
Dec 2016,1626
Aug 2016,2819
Aug 2019,5263
Jun 2018,20933
Jan 2016,5594
Dec 2016,10388
May 2017,14103
Sep 2019,7868
Jun 2016,4155
May 2018,11112
Feb 2016,8800
Aug 2018,11673
Dec 2016,19870
May 2017,5858
Dec 2015,23737
Jul 2019,6979
Sep 2018,4388
Mar 2019,15795
Mar 2018,4935
Aug 2016,21743
Nov 2016,7442
Apr 2016,5273
Nov 2018,5192
Dec 2016,6174
Mar 2017,24639
Oct 2017,7496
Oct 2019,19574
Jul 2016,2644
Feb 2019,22084
Dec 2015,9235
Jun 2017,5886
Aug 2016,3967
Feb 2018,2953
Apr 2018,16943
May 2019,19225
Sep 2018,11132
Jun 2019,18963
Mar 2016,6588
Jun 2017,8615
May 2016,6843
Apr 2019,24529
Dec 2015,18943
Apr 2018,10968
Sep 2019,3845
Sep 2016,5375
Feb 2019,13792
May 2019,14009
May 2019,22810
Jul 2016,13780
Sep 2018,14107
Nov 2016,14826
May 2017,6684
May 2018,3278
Dec 2015,20963
May 2018,10726
Nov 2017,8326
Apr 2016,24199
Dec 2017,1543
Dec 2016,4977
Jul 2016,6527
Aug 2017,16724
Jul 2016,12674
Oct 2017,10401
Apr 2018,1280
Nov 2017,14151
Aug 2018,9607
Jul 2019,3912
Nov 2015,21226
Jan 2016,8158
Apr 2018,12361
Jun 2018,20259
Aug 2017,1072
Oct 2018,18835
Sep 2016,4706
May 2016,13899
Mar 2017,20885
Jul 2018,20929
Dec 2016,11811
Dec 2017,9415
May 2017,16966
Oct 2017,21974
Dec 2016,11170
Feb 2016,18370
Oct 2017,24539
Oct 2017,10458
Aug 2016,12964
Mar 2016,16129
Oct 2017,2727
Jul 2016,1381
Oct 2018,4397
May 2017,23837
Jul 2016,19830
May 2019,12266
Oct 2016,13771
Apr 2018,13197
Mar 2019,22968
Feb 2018,13930
Jul 2019,24948
Jun 2017,15808
Dec 2016,23088
Feb 2016,5278
Oct 2018,10840
Nov 2017,5646
Mar 2018,14113
Aug 2016,14593
Nov 2018,13958
Oct 2019,10810
May 2017,12788
Aug 2018,11798
Jul 2019,24149
Feb 2016,13720
Sep 2018,7574
Jan 2016,15873
Feb 2019,11358
Apr 2017,1143
May 2016,13231
Nov 2016,2533
Jun 2018,10311
Aug 2017,6857
Aug 2016,20148
Aug 2018,17178
Oct 2017,8255
Feb 2017,16987
Dec 2018,3838
Jul 2018,12200
May 2019,17151
Apr 2018,23983
Dec 2016,12520
Jun 2018,11881
Jul 2018,23144
Nov 2018,4994
Jun 2019,8451
Sep 2017,24967
Jun 2019,23167
Oct 2017,14871
Nov 2015,19138
May 2018,8473
Feb 2019,8021
Oct 2018,3201
Jan 2019,3098
May 2017,22052
May 2018,13017
Sep 2019,13337
Oct 2017,3841
Aug 2017,2718
Sep 2018,11937
Aug 2017,9323
Mar 2019,21706
Mar 2019,21943
Jan 2017,1780
Oct 2018,6601
Sep 2018,16868
May 2019,18775
Jul 2017,1690
Apr 2018,18835
Nov 2017,20085
Dec 2017,21035
Jul 2016,5189
May 2017,16729
Mar 2018,14628
Jul 2016,20092
Jun 2017,23620
Nov 2018,2839
Mar 2017,7622
Nov 2016,1315
Oct 2019,11692
Oct 2017,5165
Jan 2017,12089
Dec 2015,15338
Jan 2018,15808
Jan 2016,13714
Feb 2019,12455
Mar 2017,21835
Nov 2018,4172
Aug 2018,6280
Jan 2018,15210
Aug 2018,6118
Aug 2016,16378
May 2019,7106
Mar 2019,7367
Oct 2019,21700
Mar 2018,2661
Jan 2019,13292
Sep 2019,4720
Feb 2017,21952
Jul 2019,10361
Sep 2016,17790
Mar 2016,22481
Apr 2018,17560
Nov 2016,22740
Nov 2016,8515
Dec 2018,6486
Jul 2016,23767
Oct 2016,10347
Dec 2018,6623
Nov 2016,23078
Jun 2017,4025
Oct 2016,14456
May 2017,21119
Dec 2015,16302
Jul 2016,22448
Jun 2017,14808
Nov 2016,3086
Aug 2017,16086
Sep 2019,18910
Apr 2016,10501
Mar 2018,13502
Nov 2017,13244
Jul 2017,20605
Apr 2016,4671
Nov 2016,19314
Sep 2017,23736
Aug 2016,10837
Jan 2018,19117
Jul 2018,7272
Apr 2018,6392
Nov 2016,3851
Feb 2018,24152
Sep 2016,22799
Mar 2018,21195
May 2016,20453
Jan 2019,6667
Aug 2017,23483
Jun 2017,9635
Feb 2018,23778
May 2018,17769
Dec 2016,1135
Apr 2016,3898
Jun 2018,8412
Dec 2016,16941
Nov 2015,23837
Aug 2017,11691
Mar 2019,14967
Jun 2017,8107
Sep 2017,8176
Sep 2019,12344
Aug 2017,11398
Dec 2015,4586
Feb 2019,3429
Dec 2016,18850
Apr 2018,4900
May 2018,7197
Feb 2017,3377
Jul 2019,15341
Nov 2018,17472
Aug 2016,24483
Feb 2018,3254
Jul 2018,5732
Jul 2019,19290
Jan 2018,21133
Aug 2016,23306
Dec 2015,22900
Jun 2017,13206
May 2019,20857
Aug 2016,10034
Sep 2018,23410
Jun 2017,8077
Nov 2018,12863
Nov 2018,1760
Apr 2017,20983
Mar 2016,5581
Nov 2017,7462
Sep 2019,13766
Mar 2018,17495
Jan 2017,17852
Oct 2016,4013
May 2019,19721
Jun 2016,19153
Feb 2017,3922
Sep 2018,23557
Jun 2018,7771
Aug 2019,19362
Dec 2018,9440
Jan 2019,11987
Apr 2018,15165
Jun 2019,8870
Apr 2016,2223
Feb 2019,11905
Jan 2017,19489
Jun 2018,22833
May 2016,14858
Oct 2016,3545
Nov 2017,24436
Feb 2016,6131
May 2016,15734
Nov 2016,21546
Oct 2019,19825
Feb 2017,21352
Jul 2018,6774
Mar 2017,9473
Apr 2018,4371
Nov 2016,20046
Feb 2018,12505
Jan 2016,9217
Jun 2016,17963
Jun 2019,11682
Dec 2018,23051
Jan 2017,4590
Jan 2016,11475
Apr 2016,14036
Dec 2018,1435
Jan 2018,7697
Jun 2016,21112
May 2018,12833
Jun 2018,20681
Jan 2019,7577
Mar 2017,3659
Apr 2017,18841
Oct 2016,11313
Sep 2019,2231
Sep 2016,2955
Mar 2019,5301
Nov 2017,14006
Jun 2019,16601
Oct 2018,7893
Jun 2019,18206
May 2017,22551
Aug 2019,20266
Jan 2019,4394
Feb 2016,15231
Feb 2016,15304
Sep 2018,12714
May 2016,17374
Feb 2016,12206
Oct 2016,1446
Apr 2019,24168
Oct 2017,5707
Feb 2017,20087
Aug 2019,2033
Sep 2017,19402
Sep 2019,15450
Nov 2015,21854
May 2019,8616
Aug 2019,14824
Jan 2017,23031
Mar 2016,19589
May 2018,9769
Nov 2017,5554
Sep 2019,9489
May 2016,13818
Jan 2017,11627
May 2019,22018
Dec 2017,22331
Jan 2017,1429
Nov 2015,3780
Jun 2018,15478
Jul 2018,5242
Oct 2018,6870
Oct 2019,7952
Sep 2016,3520
Jun 2019,18936
Jan 2016,22444
Jun 2017,7610
Jul 2019,9842
Feb 2019,8168
Mar 2018,11916
Dec 2015,11709
Apr 2017,9699
Aug 2016,14945
Jan 2016,4866
Sep 2017,5267
Oct 2019,22349
Nov 2017,9212
Apr 2017,13933
Apr 2019,6641
Nov 2016,18274
Jun 2019,14617
Jul 2017,2642
Oct 2016,16336
Nov 2016,16596
Mar 2017,5331
Nov 2016,23740
Jul 2017,21751
Mar 2016,21152
Oct 2017,17163
Feb 2017,24373
Mar 2019,20500
Oct 2017,13376
Sep 2016,18696
Nov 2016,22293
Aug 2016,16614
Jul 2019,5216
Apr 2017,7143
Jan 2017,1051
Nov 2016,8827
Oct 2017,22504
Dec 2018,15752
Jun 2016,13921
Apr 2018,9686
May 2018,14764
Mar 2016,17466
Mar 2017,18769
Sep 2019,3385
Jun 2018,15464
Jun 2016,11251
Jul 2016,4371
Mar 2018,13013
May 2017,5026
May 2016,23209
Jul 2016,8518
Nov 2017,19036
Sep 2018,16657
Nov 2015,3445
Aug 2017,7895
Dec 2018,4742
Jun 2016,1271
Feb 2018,16917
Mar 2017,7709
Aug 2018,21847
Sep 2019,5056
Aug 2016,1264
Mar 2016,19839
Sep 2017,10548
Apr 2018,18186
May 2019,1915
Jan 2019,13213
Dec 2017,24213
Dec 2017,4081
Apr 2018,20189
Jan 2018,17378
Jun 2019,8572
Feb 2019,21668
Apr 2018,19284
Aug 2017,3402
Dec 2017,20617
Nov 2018,9438
Mar 2019,6809
Nov 2018,1836
Nov 2016,22171
Sep 2016,11570
Sep 2018,3417
Jan 2016,16992
Oct 2019,10767
Dec 2016,6364
Nov 2016,4085
May 2017,12890
Sep 2018,8164
Nov 2018,24493
Jan 2017,1725
Sep 2018,15163
Dec 2015,20360
Mar 2019,15543
Mar 2019,20421
Mar 2016,3686
Apr 2017,23003
May 2018,16535
Jan 2018,3333
Aug 2019,20310
May 2018,8293
Dec 2015,2264
Jun 2019,22970
Nov 2016,1023
Aug 2018,22469
Sep 2018,16475
Nov 2017,18183
Jan 2017,11906
Oct 2019,3953
Jan 2016,19996
Jan 2016,21797
Oct 2019,6520
Jul 2018,5447
Jul 2017,18921
Sep 2016,16494
May 2018,19670
Sep 2018,9930
Nov 2017,7709
Feb 2019,11309
Apr 2016,6158
Mar 2018,9089
Oct 2017,8905
Jul 2019,21984
Sep 2016,11912
Jul 2017,3962
Sep 2018,6193
Nov 2018,23170
Nov 2015,18436
Jun 2016,16027
Nov 2015,19554
Mar 2019,1049
Dec 2016,17530
Nov 2017,10273
May 2018,13103
Oct 2017,11484
Sep 2016,8734
Oct 2017,7754
Jul 2019,17203
Mar 2018,12960
Mar 2018,6239
Feb 2017,9795
Feb 2016,2298
Jun 2016,19951
Jul 2016,6877
Feb 2018,23116
Jan 2019,11047
Oct 2016,18130
Jan 2019,19471
Dec 2016,9718
Feb 2018,24732
Apr 2018,17011
Mar 2016,7096
Dec 2016,23063
Sep 2017,19156
Oct 2017,23820
Mar 2018,2401
Mar 2017,21632
Apr 2016,19569
Jun 2019,5539
Nov 2015,4812
Aug 2016,5537
Jun 2017,5554
Dec 2017,5390
Jun 2018,3902
Jun 2018,20065
Nov 2016,10872
Mar 2019,15542
Aug 2018,15342
Jun 2018,11121
Nov 2017,5699
Sep 2019,16051
Jun 2017,15547
Nov 2016,24597
Dec 2016,11608
Mar 2018,2897
Mar 2017,11598
Apr 2017,24088
Jan 2018,18940
Nov 2016,1997
Jul 2019,24077
Jun 2019,1621
Feb 2016,17310
Nov 2017,17188
Sep 2018,9686
Oct 2016,13671
Feb 2017,3748
Aug 2018,10668
Nov 2015,22001
Mar 2019,11547
Jun 2019,5829
May 2019,15247
Feb 2018,21031
Jul 2017,15533
Nov 2017,5022
Jun 2017,19804
May 2018,6013
Nov 2016,22514
Jun 2017,6496
Apr 2019,10477
Dec 2015,14275
Jun 2018,23898
Dec 2017,1834
Jun 2016,12561
Apr 2018,20319
Nov 2017,1984
Oct 2017,20527
May 2019,20248
Mar 2017,6441
Jun 2018,20807
Apr 2016,18253
Nov 2016,24432
Jun 2016,10281
May 2016,2109
Jun 2019,19964
Feb 2016,19169
Apr 2019,17280
May 2018,13798
Feb 2016,15308
Apr 2018,12295
Jun 2019,9060
Jan 2018,7190
Nov 2015,4863
May 2018,18441
May 2016,17032
Mar 2018,12444
Dec 2018,1514
Apr 2017,3606
May 2019,11137
Mar 2018,5900
Apr 2019,5511
Dec 2017,21469
Jan 2016,15616
Sep 2016,18933
Nov 2016,21598
Apr 2017,7567
Aug 2018,21525
Jun 2019,9249
Dec 2018,8367
Feb 2019,11849
Mar 2018,2809
Apr 2018,19594
Jan 2016,4767
May 2016,17755
Nov 2017,22693
Sep 2016,20183
Apr 2019,4045
Aug 2017,13043
Jul 2017,3543
Jul 2019,3695
Nov 2015,20269
Mar 2019,15065
Mar 2019,12417
Jun 2019,3256
Oct 2019,21431
Feb 2018,6983
Oct 2019,22680
May 2017,20082
Aug 2017,15499
May 2018,2686
Nov 2017,12252
Jan 2019,14590
Aug 2017,7948
Oct 2018,8836
Jun 2019,9026
Nov 2015,21826
Oct 2017,18870
Jun 2018,1939
Mar 2018,6135
Nov 2016,8546
Dec 2017,12908
Oct 2016,5500
Sep 2017,12351
Feb 2018,20136
Dec 2018,9289
Oct 2017,7405
Aug 2018,1910
Apr 2018,2660
Sep 2019,10479
Aug 2016,15776
Feb 2018,14655
Aug 2016,24789
Jun 2019,8578
Dec 2016,9410
Feb 2017,20573
Dec 2018,15763
Aug 2018,23091
Jun 2019,7788
Jul 2016,18809
Jul 2017,19148
Jan 2018,5731
Jun 2017,23043
May 2016,16735
Sep 2016,2363
Aug 2016,15516
Jul 2019,8492
Dec 2018,16031
May 2019,10483
May 2019,9093
Aug 2019,21396
Dec 2015,13841
Jun 2016,10481
Apr 2019,21384
Apr 2019,16553
Jan 2016,23045
Jul 2016,2710
Feb 2019,14919
Mar 2019,18535
Jul 2017,17472
Aug 2019,15572
Feb 2016,20499
Jan 2017,13958
Jul 2017,3782
Jul 2018,24256
May 2017,20730
Aug 2018,11555
Jun 2019,4826
Apr 2018,21637
May 2018,6578
Apr 2017,10163
Oct 2018,6812
Aug 2016,20020
Jun 2016,24455
Mar 2018,24808
Oct 2016,9299
Jul 2018,10015
Oct 2018,17755
May 2016,18342
Feb 2018,8467
Sep 2016,8381
Oct 2017,23954
Jun 2016,16446
Nov 2017,6258
Jan 2017,7455
Sep 2018,13685
Nov 2016,24221
Mar 2019,21090
May 2017,11965
Oct 2016,15569
Aug 2016,15030
Sep 2017,20533
Aug 2017,22165
Jun 2017,20023
May 2019,19559
Dec 2015,7234
Apr 2017,1517
Oct 2016,16071
Dec 2018,17087
Apr 2018,22534
Sep 2018,5014
Mar 2018,14397
Apr 2017,16926
May 2016,12130
May 2016,17863
Sep 2019,4845
Sep 2016,24914
Sep 2017,2369
Mar 2016,8931
Sep 2018,12777
Oct 2018,15555
Jul 2019,13736
Aug 2019,17684
Oct 2017,5188
Jan 2016,14850
Dec 2015,15798
Aug 2019,14356
Aug 2017,4081
Apr 2018,22030
Mar 2019,10240
Mar 2019,21392
Nov 2017,8804
Dec 2017,10690
May 2019,10116
Dec 2015,5440
Aug 2019,1185
May 2018,18045
Dec 2015,11831
Feb 2017,1198
Dec 2018,10370
Jan 2019,14038
Nov 2017,24458
May 2019,15681
Oct 2019,8552
Apr 2019,7514
Feb 2019,16030
Nov 2017,16640
Jul 2018,5522
Aug 2017,20231
Jul 2019,5266
Dec 2017,20828
Oct 2018,21953
Oct 2017,23008
Jul 2016,19684
Mar 2018,21579
Aug 2018,11989
Jul 2019,9314
Oct 2016,10778
Jul 2017,22621
Jul 2017,11199
Nov 2018,13214
Feb 2017,22388
Sep 2016,6008
Nov 2015,14298
Sep 2016,14644
Nov 2018,4212
Nov 2017,13008
May 2017,24620
Nov 2015,24775
Dec 2015,21835
Sep 2018,19000
Dec 2018,17445
Feb 2017,10718
Feb 2019,6253
Jun 2019,24109
Feb 2016,1161
Sep 2016,14893
Oct 2018,9903
Oct 2018,11660
Oct 2019,3789
Mar 2016,12513
Aug 2017,13971
Jul 2019,19335
May 2016,4244
Jan 2017,12928
Aug 2016,4205
Jun 2017,12712
Feb 2019,17070
Jan 2017,17174
Jul 2016,21459
May 2016,13576
Jan 2018,22597
Apr 2018,23144
Aug 2016,18720
Jul 2019,4015
Jun 2017,6360
Feb 2017,2772
Jul 2019,22159
Oct 2017,19444
Jan 2017,10237
Nov 2017,21760
Oct 2017,13570
Aug 2018,21284
Apr 2019,6154
Jun 2018,20316
May 2017,10364
Mar 2017,4412
Mar 2016,9281
Jun 2019,6328
May 2018,22230
Apr 2018,2786
